,Nome_UF,co_ibge,Nome_Município,Hub_ind,muni_number
0,Amazonas,1302108,Japurá,0.0,105
1,Pará,1502954,Eldorado do Carajás,1.0,197
2,Tocantins,1702554,Augustinópolis,1.0,327
3,Maranhão,2104073,Feira Nova do Maranhão,0.0,519
4,Maranhão,2108207,Pedreiras,1.0,587
5,Ceará,2300705,Alto Santo,0.0,898
6,Paraíba,2515005,São Miguel de Taipu,0.0,1437
7,Paraíba,2517001,Umbuzeiro,1.0,1461
8,Bahia,2916708,Itaquara,0.0,2023
9,Bahia,2926301,Riachão do Jacuípe,1.0,2150
10,Minas Gerais,3107000,Biquinhas,0.0,2318
11,Minas Gerais,3118809,Coração de Jesus,0.0,2450
12,Minas Gerais,3136405,Joaquim Felício,0.0,2656
13,Minas Gerais,3145604,Oliveira,1.0,2775
14,Minas Gerais,3166501,Serra Azul de Minas,1.0,3025
15,São Paulo,3501400,Álvaro de Carvalho,0.0,3283
16,São Paulo,3502507,Aparecida,1.0,3294
17,São Paulo,3503158,Arapeí,0.0,3302
18,São Paulo,3507803,Brodowski,0.0,3356
19,São Paulo,3545506,Sandovalina,0.0,3777
20,Paraná,4112405,Japurá,0.0,4084
21,Paraná,4126678,Tamarana,0.0,4279
22,Santa Catarina,4200507,Águas de Chapecó,0.0,4316
23,Santa Catarina,4200754,Alto Bela Vista,0.0,4320
24,Santa Catarina,4214508,Rio do Campo,0.0,4525
25,Rio Grande do Sul,4300109,Agudo,0.0,4608
26,Rio Grande do Sul,4319372,São Pedro do Butiá,0.0,5015
27,Mato Grosso do Sul,5000906,Antônio João,0.0,5109
28,Mato Grosso,5107206,Rio Branco,0.0,5287
29,Pará,1506609,Santa Maria do Pará,1.0,262
30,Tocantins,1705508,Colinas do Tocantins,1.0,348
31,Maranhão,2106805,Mirinzal,0.0,569
32,Piauí,2204550,Guaribas,0.0,758
33,Ceará,2302057,Barroquinha,0.0,916
34,Ceará,2306504,Itapiúna,0.0,979
35,Rio Grande do Norte,2410603,Rafael Godeiro,0.0,1190
36,Rio Grande do Norte,2411502,Santo Antônio,0.0,1200
37,Paraíba,2502904,Brejo dos Santos,0.0,1280
38,Pernambuco,2610806,Pedra,1.0,1587
39,Pernambuco,2616407,Vitória de Santo Antão,1.0,1648
40,Alagoas,2702009,Coité do Nóia,0.0,1670
41,Alagoas,2704302,Maceió,1.0,1696
42,Minas Gerais,3153301,Presidente Kubitschek,0.0,2865
43,São Paulo,3503604,Areiópolis,1.0,3308
44,São Paulo,3503950,Aspásia,0.0,3312
45,São Paulo,3520301,Iguape,0.0,3498
46,São Paulo,3525201,Jarinu,0.0,3552
47,Paraná,4102703,Barra do Jacaré,0.0,3943
48,Paraná,4118204,Paranaguá,1.0,4164
49,Santa Catarina,4201109,Anitápolis,0.0,4324
50,Santa Catarina,4206751,Ibiam,0.0,4416
51,Santa Catarina,4218301,Três Barras,0.0,4582
52,Rio Grande do Sul,4300570,Alto Feliz,0.0,4616
53,Rio Grande do Sul,4315354,Quinze de Novembro,0.0,4944
54,Rio Grande do Sul,4318606,São José do Ouro,1.0,5001
55,Rio Grande do Sul,4322855,Vespasiano Corrêa,0.0,5088
56,Goiás,5215207,Novo Brasil,0.0,5488
57,Goiás,5215652,Palestina de Goiás,0.0,5495
58,Pará,1505403,Ourém,0.0,235
59,Maranhão,2106409,Mata Roma,0.0,562
60,Maranhão,2111532,São Pedro da Água Branca,0.0,638
61,Piauí,2209807,São Gonçalo do Piauí,0.0,855
62,Ceará,2301307,Araripe,0.0,906
63,Rio Grande do Norte,2406007,José da Penha,0.0,1140
64,Rio Grande do Norte,2410900,Riachuelo,0.0,1193
65,Paraíba,2507101,Itapororoca,0.0,1333
66,Pernambuco,2600302,Agrestina,1.0,1468
67,Bahia,2929057,São Félix do Coribe,0.0,2181
68,Minas Gerais,3101508,Além Paraíba,1.0,2258
69,Minas Gerais,3118007,Congonhas,1.0,2442
70,Minas Gerais,3123858,Entre Folhas,0.0,2510
71,Minas Gerais,3125952,Fervedouro,1.0,2532
72,Minas Gerais,3138674,Luisburgo,0.0,2688
73,Minas Gerais,3170800,Várzea da Palma,0.0,3079
74,Espírito Santo,3202256,Governador Lindenberg,0.0,3123
75,São Paulo,3501509,Alvinlândia,0.0,3284
76,São Paulo,3508009,Buri,0.0,3358
77,São Paulo,3534302,Orlândia,1.0,3653
78,São Paulo,3548708,São Bernardo do Campo,1.0,3811
79,Paraná,4128625,Alto Paraíso,0.0,4306
80,Paraná,4104055,Campo Bonito,0.0,3968
81,Paraná,4105201,Cerro Azul,1.0,3984
82,Santa Catarina,4206801,Ibicaré,0.0,4417
83,Santa Catarina,4216404,São João do Sul,0.0,4557
84,Santa Catarina,4218756,Tunápolis,0.0,4588
85,Rio Grande do Sul,4315602,Rio Grande,1.0,4949
86,Rio Grande do Sul,4321832,Três Forquilhas,0.0,5064
87,Mato Grosso,5102637,Campo Novo do Parecis,1.0,5203
88,Rondônia,1100114,Jaru,1.0,10
89,Rondônia,1100502,Novo Horizonte do Oeste,0.0,28
90,Amazonas,1300805,Borba,0.0,87
91,Pará,1505700,Ponta de Pedras,0.0,245
92,Pará,1507508,São João do Araguaia,0.0,275
93,Tocantins,1712702,Mateiros,0.0,383
94,Tocantins,1721307,Tupiratins,0.0,447
95,Maranhão,2100436,Alto Alegre do Maranhão,1.0,456
96,Piauí,2205102,Itaueira,1.0,765
97,Ceará,2303907,Chaval,0.0,936
98,Ceará,2313757,Umirim,0.0,1069
99,Rio Grande do Norte,2402808,Coronel Ezequiel,0.0,1105
100,Rio Grande do Norte,2404903,Itaú,0.0,1129
101,Rio Grande do Norte,2414100,Tenente Ananias,0.0,1229
102,Paraíba,2508554,Logradouro,0.0,1348
103,Pernambuco,2602704,Buenos Aires,0.0,1493
104,Alagoas,2703908,Jundiá,0.0,1692
105,Bahia,2917102,Itororó,1.0,2028
106,Bahia,2933455,Wanderley,0.0,2241
107,Minas Gerais,3103306,Aracitaba,0.0,2279
108,Minas Gerais,3121258,Delta,0.0,2479
109,Minas Gerais,3124104,Esmeraldas,0.0,2513
110,Minas Gerais,3127503,Gonzaga,0.0,2556
111,Minas Gerais,3139805,Mar de Espanha,1.0,2702
112,Minas Gerais,3150539,Pingo d'Água,1.0,2834
113,São Paulo,3501905,Amparo,1.0,3288
114,São Paulo,3514502,Duartina,1.0,3427
115,São Paulo,3532900,Nova Europa,0.0,3638
116,São Paulo,3544301,Roseira,0.0,3764
117,Paraná,4112801,Joaquim Távora,0.0,4089
118,Paraná,4123105,Santa Amélia,0.0,4230
119,Rio Grande do Sul,4306932,Entre-Ijuís,1.0,4750
120,Rio Grande do Sul,4311601,Liberato Salzano,0.0,4840
121,Mato Grosso do Sul,5001508,Bandeirantes,1.0,5113
122,Mato Grosso do Sul,5004502,Itaporã,0.0,5142
123,Mato Grosso,5100607,Alto Taquari,0.0,5189
124,Mato Grosso,5105200,Juscimeira,0.0,5242
