Accession ID	Collection date	Submission date	Location
EPI_ISL_6983061	2021-08-02	2021-12-02	South America / Brazil / Rio de Janeiro
EPI_ISL_6813408	2021-08-12	2021-11-28	South America / Brazil / Alagoas
EPI_ISL_6983897	2021-08-03	2021-12-02	South America / Brazil / Rio de Janeiro
EPI_ISL_6813405	2021-08-12	2021-11-28	South America / Brazil / Alagoas
EPI_ISL_6813410	2021-08-08	2021-11-28	South America / Brazil / Alagoas
EPI_ISL_6813483	2021-11-03	2021-11-28	South America / Brazil / Sao Paulo
EPI_ISL_6813481	2021-11-03	2021-11-28	South America / Brazil / Sao Paulo
EPI_ISL_6813559	2021-08-15	2021-11-28	South America / Brazil / Alagoas
EPI_ISL_6813407	2021-08-12	2021-11-28	South America / Brazil / Alagoas
EPI_ISL_6813409	2021-08-12	2021-11-28	South America / Brazil / Alagoas
EPI_ISL_6813401	2021-08-15	2021-11-28	South America / Brazil / Alagoas
EPI_ISL_6813474	2021-11-03	2021-11-28	South America / Brazil / Sao Paulo
EPI_ISL_8005274	2021-03-11	2021-12-23	South America / Brazil / Parana / Curitiba
EPI_ISL_6813566	2021-08-13	2021-11-28	South America / Brazil / Alagoas
EPI_ISL_8004654	2021-06-03	2021-12-23	South America / Brazil / Rio de Janeiro / Rio de Janeiro
EPI_ISL_8004662	2021-06-09	2021-12-23	South America / Brazil / Rio de Janeiro / Rio de Janeiro
EPI_ISL_8004768	2021-07-24	2021-12-23	South America / Brazil / Rio de Janeiro / Rio de Janeiro
EPI_ISL_8004669	2021-06-18	2021-12-23	South America / Brazil / Rio de Janeiro / Rio de Janeiro
EPI_ISL_6568670	2021-07-25	2021-11-20	South America / Brazil / Pernambuco / Garanhuns
EPI_ISL_8127416	2021-04-14	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127413	2021-04-14	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127412	2021-04-14	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127406	2021-04-12	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127405	2021-04-12	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127400	2021-04-08	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127452	2021-04-19	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127455	2021-04-19	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127449	2021-04-18	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127445	2021-04-16	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127444	2021-04-16	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127431	2021-04-16	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127436	2021-04-16	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127433	2021-04-16	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127421	2021-04-14	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127429	2021-04-15	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127426	2021-04-15	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127422	2021-04-14	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127494	2021-04-28	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127485	2021-04-27	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127474	2021-04-26	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127470	2021-04-22	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127479	2021-04-26	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127478	2021-04-26	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127460	2021-04-20	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127469	2021-04-22	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127468	2021-04-22	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127397	2021-04-08	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127396	2021-04-08	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127394	2021-04-08	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127391	2021-04-08	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127390	2021-04-07	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127371	2021-04-03	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127370	2021-04-05	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127378	2021-04-05	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127364	2021-04-02	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127369	2021-04-04	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127814	2021-07-21	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127812	2021-07-20	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127811	2021-07-20	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127808	2021-07-18	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127807	2021-07-16	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127806	2021-07-16	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127805	2021-07-16	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127804	2021-07-16	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127802	2021-07-15	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127801	2021-07-14	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127800	2021-07-13	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127735	2021-06-06	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127733	2021-06-05	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127731	2021-06-05	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127729	2021-06-04	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127727	2021-06-04	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127725	2021-06-04	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127722	2021-06-04	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127720	2021-05-28	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127719	2021-05-26	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127718	2021-05-21	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127716	2021-05-17	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127715	2021-05-13	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127714	2021-05-11	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127708	2021-06-29	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127707	2021-06-28	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127706	2021-06-28	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127702	2021-06-21	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127700	2021-06-18	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127771	2021-06-21	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127770	2021-06-20	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127776	2021-07-01	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127769	2021-06-21	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127751	2021-06-10	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127750	2021-06-10	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127757	2021-06-11	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127752	2021-06-10	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127749	2021-06-10	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127740	2021-06-07	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127745	2021-06-08	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127744	2021-06-08	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127743	2021-06-08	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127742	2021-06-07	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127741	2021-06-07	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127793	2021-07-12	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127799	2021-07-13	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127784	2021-07-06	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127782	2021-07-06	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127781	2021-07-06	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127780	2021-07-06	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127616	2021-05-21	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127615	2021-05-21	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127614	2021-05-23	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127611	2021-05-21	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127609	2021-05-20	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127608	2021-05-20	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127607	2021-05-20	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127605	2021-05-20	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127604	2021-05-20	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127603	2021-05-20	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127602	2021-05-20	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127601	2021-05-20	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127600	2021-05-19	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127658	2021-05-28	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127656	2021-05-28	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127655	2021-05-28	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127647	2021-05-27	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127645	2021-05-27	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127643	2021-05-27	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127642	2021-05-27	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127639	2021-05-26	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127635	2021-05-25	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127634	2021-05-25	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127633	2021-05-24	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127631	2021-05-24	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127629	2021-05-24	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127628	2021-05-24	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127625	2021-05-24	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127624	2021-05-24	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127622	2021-05-21	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127620	2021-05-21	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127619	2021-05-21	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127618	2021-05-21	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127693	2021-06-14	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127692	2021-06-14	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127690	2021-06-09	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127698	2021-06-15	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127697	2021-06-15	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127684	2021-06-08	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127683	2021-06-07	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127680	2021-06-07	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127689	2021-06-09	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127687	2021-06-09	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127686	2021-06-09	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127672	2021-06-01	2021-12-27	South America / Brazil / Bahia / Salvador
EPI_ISL_8127662	2021-06-02	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127660	2021-05-28	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127668	2021-06-02	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127530	2021-05-05	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127536	2021-05-05	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127535	2021-05-05	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127534	2021-05-05	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127529	2021-05-04	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127520	2021-04-30	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127526	2021-05-04	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127525	2021-05-04	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127523	2021-05-03	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127519	2021-04-30	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127518	2021-04-30	2021-12-27	South America / Brazil / Bahia / Irece
EPI_ISL_8127515	2021-04-30	2021-12-27	South America / Brazil / Bahia / Irece
