,Nome_UF,co_ibge,Nome_Município,hub_ind_proxi,hub_ind_intermed,hub_inter
0,Amazonas,1302108,Japurá,0.0,0.0,0.0
1,Pará,1502954,Eldorado do Carajás,0.0,1.0,1.0
2,Tocantins,1702554,Augustinópolis,0.0,1.0,1.0
3,Maranhão,2104073,Feira Nova do Maranhão,0.0,0.0,0.0
4,Maranhão,2108207,Pedreiras,0.0,1.0,1.0
5,Ceará,2300705,Alto Santo,0.0,0.0,0.0
6,Paraíba,2515005,São Miguel de Taipu,0.0,0.0,0.0
7,Paraíba,2517001,Umbuzeiro,0.0,1.0,1.0
8,Bahia,2916708,Itaquara,0.0,0.0,0.0
9,Bahia,2926301,Riachão do Jacuípe,1.0,1.0,1.0
10,Minas Gerais,3107000,Biquinhas,0.0,0.0,0.0
11,Minas Gerais,3118809,Coração de Jesus,0.0,0.0,0.0
12,Minas Gerais,3136405,Joaquim Felício,0.0,0.0,0.0
13,Minas Gerais,3145604,Oliveira,1.0,1.0,1.0
14,Minas Gerais,3166501,Serra Azul de Minas,0.0,1.0,1.0
15,São Paulo,3501400,Álvaro de Carvalho,0.0,0.0,0.0
16,São Paulo,3502507,Aparecida,1.0,1.0,1.0
17,São Paulo,3503158,Arapeí,1.0,0.0,0.0
18,São Paulo,3507803,Brodowski,0.0,0.0,0.0
19,São Paulo,3545506,Sandovalina,0.0,0.0,0.0
20,Paraná,4112405,Japurá,0.0,0.0,0.0
21,Paraná,4126678,Tamarana,0.0,0.0,0.0
22,Santa Catarina,4200507,Águas de Chapecó,0.0,0.0,0.0
23,Santa Catarina,4200754,Alto Bela Vista,0.0,0.0,0.0
24,Santa Catarina,4214508,Rio do Campo,0.0,0.0,0.0
25,Rio Grande do Sul,4300109,Agudo,0.0,0.0,0.0
26,Rio Grande do Sul,4319372,São Pedro do Butiá,0.0,0.0,0.0
27,Mato Grosso do Sul,5000906,Antônio João,0.0,0.0,0.0
28,Mato Grosso,5107206,Rio Branco,0.0,0.0,0.0
29,Pará,1506609,Santa Maria do Pará,1.0,1.0,1.0
30,Tocantins,1705508,Colinas do Tocantins,1.0,1.0,1.0
31,Maranhão,2106805,Mirinzal,0.0,0.0,0.0
32,Piauí,2204550,Guaribas,0.0,0.0,0.0
33,Ceará,2302057,Barroquinha,0.0,0.0,0.0
34,Ceará,2306504,Itapiúna,0.0,0.0,0.0
35,Rio Grande do Norte,2410603,Rafael Godeiro,0.0,0.0,0.0
36,Rio Grande do Norte,2411502,Santo Antônio,0.0,0.0,0.0
37,Paraíba,2502904,Brejo dos Santos,0.0,0.0,0.0
38,Pernambuco,2610806,Pedra,1.0,1.0,1.0
39,Pernambuco,2616407,Vitória de Santo Antão,1.0,1.0,1.0
40,Alagoas,2702009,Coité do Nóia,0.0,0.0,0.0
41,Alagoas,2704302,Maceió,1.0,1.0,1.0
42,Minas Gerais,3153301,Presidente Kubitschek,0.0,0.0,0.0
43,São Paulo,3503604,Areiópolis,1.0,1.0,1.0
44,São Paulo,3503950,Aspásia,0.0,0.0,0.0
45,São Paulo,3520301,Iguape,1.0,0.0,0.0
46,São Paulo,3525201,Jarinu,0.0,0.0,0.0
47,Paraná,4102703,Barra do Jacaré,0.0,0.0,0.0
48,Paraná,4118204,Paranaguá,1.0,1.0,1.0
49,Santa Catarina,4201109,Anitápolis,0.0,0.0,0.0
50,Santa Catarina,4206751,Ibiam,0.0,0.0,0.0
51,Santa Catarina,4218301,Três Barras,0.0,0.0,0.0
52,Rio Grande do Sul,4300570,Alto Feliz,0.0,0.0,0.0
53,Rio Grande do Sul,4315354,Quinze de Novembro,0.0,0.0,0.0
